graph_index_0based,simulation_id,n_cells,package_id,sigma_index,t1_edge_1,t1_edge_2,shear_factor,kA,nx
0,graph_256_10_0_1_-1_1.txt,256,10,0,1,-1,1,1,16
1,graph_256_10_10_1_-1_1.txt,256,10,10,1,-1,1,1,16
2,graph_256_10_11_1_-1_1.txt,256,10,11,1,-1,1,1,16
3,graph_256_10_12_1_-1_1.txt,256,10,12,1,-1,1,1,16
4,graph_256_10_13_1_-1_1.txt,256,10,13,1,-1,1,1,16
5,graph_256_10_14_1_-1_1.txt,256,10,14,1,-1,1,1,16
6,graph_256_10_15_1_-1_1.txt,256,10,15,1,-1,1,1,16
7,graph_256_10_16_1_-1_1.txt,256,10,16,1,-1,1,1,16
8,graph_256_10_17_1_-1_1.txt,256,10,17,1,-1,1,1,16
9,graph_256_10_18_1_-1_1.txt,256,10,18,1,-1,1,1,16
10,graph_256_10_19_1_-1_1.txt,256,10,19,1,-1,1,1,16
11,graph_256_10_1_1_-1_1.txt,256,10,1,1,-1,1,1,16
12,graph_256_10_20_1_-1_1.txt,256,10,20,1,-1,1,1,16
13,graph_256_10_21_1_-1_1.txt,256,10,21,1,-1,1,1,16
14,graph_256_10_22_1_-1_1.txt,256,10,22,1,-1,1,1,16
15,graph_256_10_23_1_-1_1.txt,256,10,23,1,-1,1,1,16
16,graph_256_10_24_1_-1_1.txt,256,10,24,1,-1,1,1,16
17,graph_256_10_25_1_-1_1.txt,256,10,25,1,-1,1,1,16
18,graph_256_10_26_1_-1_1.txt,256,10,26,1,-1,1,1,16
19,graph_256_10_27_1_-1_1.txt,256,10,27,1,-1,1,1,16
20,graph_256_10_28_1_-1_1.txt,256,10,28,1,-1,1,1,16
21,graph_256_10_29_1_-1_1.txt,256,10,29,1,-1,1,1,16
22,graph_256_10_2_1_-1_1.txt,256,10,2,1,-1,1,1,16
23,graph_256_10_30_1_-1_1.txt,256,10,30,1,-1,1,1,16
24,graph_256_10_31_1_-1_1.txt,256,10,31,1,-1,1,1,16
25,graph_256_10_32_1_-1_1.txt,256,10,32,1,-1,1,1,16
26,graph_256_10_33_1_-1_1.txt,256,10,33,1,-1,1,1,16
27,graph_256_10_34_1_-1_1.txt,256,10,34,1,-1,1,1,16
28,graph_256_10_35_1_-1_1.txt,256,10,35,1,-1,1,1,16
29,graph_256_10_36_1_-1_1.txt,256,10,36,1,-1,1,1,16
30,graph_256_10_37_1_-1_1.txt,256,10,37,1,-1,1,1,16
31,graph_256_10_38_1_-1_1.txt,256,10,38,1,-1,1,1,16
32,graph_256_10_39_1_-1_1.txt,256,10,39,1,-1,1,1,16
33,graph_256_10_3_1_-1_1.txt,256,10,3,1,-1,1,1,16
34,graph_256_10_40_1_-1_1.txt,256,10,40,1,-1,1,1,16
35,graph_256_10_41_1_-1_1.txt,256,10,41,1,-1,1,1,16
36,graph_256_10_42_1_-1_1.txt,256,10,42,1,-1,1,1,16
37,graph_256_10_43_1_-1_1.txt,256,10,43,1,-1,1,1,16
38,graph_256_10_44_1_-1_1.txt,256,10,44,1,-1,1,1,16
39,graph_256_10_45_1_-1_1.txt,256,10,45,1,-1,1,1,16
40,graph_256_10_46_1_-1_1.txt,256,10,46,1,-1,1,1,16
41,graph_256_10_47_1_-1_1.txt,256,10,47,1,-1,1,1,16
42,graph_256_10_48_1_-1_1.txt,256,10,48,1,-1,1,1,16
43,graph_256_10_49_1_-1_1.txt,256,10,49,1,-1,1,1,16
44,graph_256_10_4_1_-1_1.txt,256,10,4,1,-1,1,1,16
45,graph_256_10_50_1_-1_1.txt,256,10,50,1,-1,1,1,16
46,graph_256_10_5_1_-1_1.txt,256,10,5,1,-1,1,1,16
47,graph_256_10_6_1_-1_1.txt,256,10,6,1,-1,1,1,16
48,graph_256_10_7_1_-1_1.txt,256,10,7,1,-1,1,1,16
49,graph_256_10_8_1_-1_1.txt,256,10,8,1,-1,1,1,16
50,graph_256_10_9_1_-1_1.txt,256,10,9,1,-1,1,1,16
51,graph_256_11_0_1_-1_1.txt,256,11,0,1,-1,1,1,16
52,graph_256_11_10_1_-1_1.txt,256,11,10,1,-1,1,1,16
53,graph_256_11_11_1_-1_1.txt,256,11,11,1,-1,1,1,16
54,graph_256_11_12_1_-1_1.txt,256,11,12,1,-1,1,1,16
55,graph_256_11_13_1_-1_1.txt,256,11,13,1,-1,1,1,16
56,graph_256_11_14_1_-1_1.txt,256,11,14,1,-1,1,1,16
57,graph_256_11_15_1_-1_1.txt,256,11,15,1,-1,1,1,16
58,graph_256_11_16_1_-1_1.txt,256,11,16,1,-1,1,1,16
59,graph_256_11_17_1_-1_1.txt,256,11,17,1,-1,1,1,16
60,graph_256_11_18_1_-1_1.txt,256,11,18,1,-1,1,1,16
61,graph_256_11_19_1_-1_1.txt,256,11,19,1,-1,1,1,16
62,graph_256_11_1_1_-1_1.txt,256,11,1,1,-1,1,1,16
63,graph_256_11_20_1_-1_1.txt,256,11,20,1,-1,1,1,16
64,graph_256_11_21_1_-1_1.txt,256,11,21,1,-1,1,1,16
65,graph_256_11_22_1_-1_1.txt,256,11,22,1,-1,1,1,16
66,graph_256_11_23_1_-1_1.txt,256,11,23,1,-1,1,1,16
67,graph_256_11_24_1_-1_1.txt,256,11,24,1,-1,1,1,16
68,graph_256_11_25_1_-1_1.txt,256,11,25,1,-1,1,1,16
69,graph_256_11_26_1_-1_1.txt,256,11,26,1,-1,1,1,16
70,graph_256_11_27_1_-1_1.txt,256,11,27,1,-1,1,1,16
71,graph_256_11_28_1_-1_1.txt,256,11,28,1,-1,1,1,16
72,graph_256_11_29_1_-1_1.txt,256,11,29,1,-1,1,1,16
73,graph_256_11_2_1_-1_1.txt,256,11,2,1,-1,1,1,16
74,graph_256_11_30_1_-1_1.txt,256,11,30,1,-1,1,1,16
75,graph_256_11_31_1_-1_1.txt,256,11,31,1,-1,1,1,16
76,graph_256_11_32_1_-1_1.txt,256,11,32,1,-1,1,1,16
77,graph_256_11_33_1_-1_1.txt,256,11,33,1,-1,1,1,16
78,graph_256_11_34_1_-1_1.txt,256,11,34,1,-1,1,1,16
79,graph_256_11_35_1_-1_1.txt,256,11,35,1,-1,1,1,16
80,graph_256_11_36_1_-1_1.txt,256,11,36,1,-1,1,1,16
81,graph_256_11_37_1_-1_1.txt,256,11,37,1,-1,1,1,16
82,graph_256_11_38_1_-1_1.txt,256,11,38,1,-1,1,1,16
83,graph_256_11_39_1_-1_1.txt,256,11,39,1,-1,1,1,16
84,graph_256_11_3_1_-1_1.txt,256,11,3,1,-1,1,1,16
85,graph_256_11_40_1_-1_1.txt,256,11,40,1,-1,1,1,16
86,graph_256_11_41_1_-1_1.txt,256,11,41,1,-1,1,1,16
87,graph_256_11_42_1_-1_1.txt,256,11,42,1,-1,1,1,16
88,graph_256_11_43_1_-1_1.txt,256,11,43,1,-1,1,1,16
89,graph_256_11_44_1_-1_1.txt,256,11,44,1,-1,1,1,16
90,graph_256_11_45_1_-1_1.txt,256,11,45,1,-1,1,1,16
91,graph_256_11_46_1_-1_1.txt,256,11,46,1,-1,1,1,16
92,graph_256_11_47_1_-1_1.txt,256,11,47,1,-1,1,1,16
93,graph_256_11_48_1_-1_1.txt,256,11,48,1,-1,1,1,16
94,graph_256_11_49_1_-1_1.txt,256,11,49,1,-1,1,1,16
95,graph_256_11_4_1_-1_1.txt,256,11,4,1,-1,1,1,16
96,graph_256_11_50_1_-1_1.txt,256,11,50,1,-1,1,1,16
