graph_index_0based,simulation_id,n_cells,package_id,sigma_index,t1_edge_1,t1_edge_2,shear_factor,kA,nx
0,graph_484_10_0_1_-1_1.txt,484,10,0,1,-1,1,100,22
1,graph_484_10_10_1_-1_1.txt,484,10,10,1,-1,1,100,22
2,graph_484_10_11_1_-1_1.txt,484,10,11,1,-1,1,100,22
3,graph_484_10_12_1_-1_1.txt,484,10,12,1,-1,1,100,22
4,graph_484_10_13_1_-1_1.txt,484,10,13,1,-1,1,100,22
5,graph_484_10_14_1_-1_1.txt,484,10,14,1,-1,1,100,22
6,graph_484_10_15_1_-1_1.txt,484,10,15,1,-1,1,100,22
7,graph_484_10_16_1_-1_1.txt,484,10,16,1,-1,1,100,22
8,graph_484_10_17_1_-1_1.txt,484,10,17,1,-1,1,100,22
9,graph_484_10_18_1_-1_1.txt,484,10,18,1,-1,1,100,22
10,graph_484_10_19_1_-1_1.txt,484,10,19,1,-1,1,100,22
11,graph_484_10_1_1_-1_1.txt,484,10,1,1,-1,1,100,22
12,graph_484_10_20_1_-1_1.txt,484,10,20,1,-1,1,100,22
13,graph_484_10_21_1_-1_1.txt,484,10,21,1,-1,1,100,22
14,graph_484_10_22_1_-1_1.txt,484,10,22,1,-1,1,100,22
15,graph_484_10_23_1_-1_1.txt,484,10,23,1,-1,1,100,22
16,graph_484_10_24_1_-1_1.txt,484,10,24,1,-1,1,100,22
17,graph_484_10_25_1_-1_1.txt,484,10,25,1,-1,1,100,22
18,graph_484_10_26_1_-1_1.txt,484,10,26,1,-1,1,100,22
19,graph_484_10_27_1_-1_1.txt,484,10,27,1,-1,1,100,22
20,graph_484_10_28_1_-1_1.txt,484,10,28,1,-1,1,100,22
21,graph_484_10_29_1_-1_1.txt,484,10,29,1,-1,1,100,22
22,graph_484_10_2_1_-1_1.txt,484,10,2,1,-1,1,100,22
23,graph_484_10_30_1_-1_1.txt,484,10,30,1,-1,1,100,22
24,graph_484_10_31_1_-1_1.txt,484,10,31,1,-1,1,100,22
25,graph_484_10_32_1_-1_1.txt,484,10,32,1,-1,1,100,22
26,graph_484_10_33_1_-1_1.txt,484,10,33,1,-1,1,100,22
27,graph_484_10_34_1_-1_1.txt,484,10,34,1,-1,1,100,22
28,graph_484_10_35_1_-1_1.txt,484,10,35,1,-1,1,100,22
29,graph_484_10_36_1_-1_1.txt,484,10,36,1,-1,1,100,22
30,graph_484_10_37_1_-1_1.txt,484,10,37,1,-1,1,100,22
31,graph_484_10_38_1_-1_1.txt,484,10,38,1,-1,1,100,22
32,graph_484_10_39_1_-1_1.txt,484,10,39,1,-1,1,100,22
33,graph_484_10_3_1_-1_1.txt,484,10,3,1,-1,1,100,22
34,graph_484_10_40_1_-1_1.txt,484,10,40,1,-1,1,100,22
35,graph_484_10_41_1_-1_1.txt,484,10,41,1,-1,1,100,22
36,graph_484_10_42_1_-1_1.txt,484,10,42,1,-1,1,100,22
